ID,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Runtime
1,Inception,2010,8.8,87%,1,0,0,0,148.0
2,The Matrix,1999,8.7,87%,1,0,0,0,136.0
3,Avengers: Infinity War,2018,8.5,84%,1,0,0,0,149.0
4,Back to the Future,1985,8.5,96%,1,0,0,0,116.0
5,"The Good, the Bad and the Ugly",1966,8.8,97%,1,0,1,0,161.0
6,Spider-Man: Into the Spider-Verse,2018,8.4,97%,1,0,0,0,117.0
7,The Pianist,2002,8.5,95%,1,0,1,0,150.0
8,Django Unchained,2012,8.4,87%,1,0,0,0,165.0
9,Raiders of the Lost Ark,1981,8.4,95%,1,0,0,0,115.0
10,Inglourious Basterds,2009,8.3,89%,1,0,0,0,153.0
11,Taxi Driver,1976,8.3,95%,1,0,0,0,114.0
12,3 Idiots,2009,8.4,100%,1,0,1,0,170.0
13,Pan's Labyrinth,2006,8.2,95%,1,0,0,0,118.0
14,Room,2015,8.1,93%,1,0,0,0,118.0
15,Monty Python and the Holy Grail,1975,8.2,97%,1,0,0,0,91.0
16,Once Upon a Time in the West,1968,8.5,95%,1,0,1,0,165.0
17,Indiana Jones and the Last Crusade,1989,8.2,88%,1,0,0,0,127.0
18,Groundhog Day,1993,8.0,96%,1,0,0,0,101.0
19,The King's Speech,2010,8.0,95%,1,0,0,0,118.0
20,Her,2013,8.0,95%,1,0,0,0,126.0
21,There Will Be Blood,2007,8.2,91%,1,0,0,0,158.0
22,The Social Network,2010,7.7,96%,1,0,0,0,120.0
23,Dallas Buyers Club,2013,8.0,93%,1,0,0,0,117.0
24,The Perks of Being a Wallflower,2012,8.0,86%,1,0,0,0,103.0
25,Life of Brian,1979,8.1,95%,1,0,0,0,94.0
26,Ex Machina,2015,7.7,92%,1,0,0,0,108.0
27,Silver Linings Playbook,2012,7.7,92%,1,0,0,0,122.0
28,District 9,2009,7.9,90%,1,0,0,0,112.0
29,The Irishman,2019,7.9,96%,1,0,0,0,209.0
30,Moon,2009,7.9,90%,1,0,0,0,97.0
31,Marriage Story,2019,8.0,95%,1,0,0,0,137.0
32,Drive,2011,7.8,92%,1,0,1,0,100.0
33,Train to Busan,2016,7.5,94%,1,0,1,0,118.0
34,Incredibles 2,2018,7.6,94%,1,0,0,0,118.0
35,Dangal,2016,8.4,88%,1,0,0,0,161.0
36,Klaus,2019,8.2,94%,1,0,0,0,96.0
37,Minority Report,2002,7.6,90%,1,0,0,0,145.0
38,Mystic River,2003,7.9,88%,1,0,0,0,138.0
39,Like Stars on Earth,2007,8.4,91%,1,0,0,0,165.0
40,Ferris Bueller's Day Off,1986,7.8,80%,1,0,0,0,103.0
41,Despicable Me,2010,7.6,81%,1,0,0,0,95.0
42,Hell or High Water,2016,7.6,97%,1,0,0,0,102.0
43,Sin City,2005,8.0,77%,1,0,0,0,124.0
44,Ip Man,2008,8.0,85%,1,0,0,0,106.0
45,Indiana Jones and the Temple of Doom,1984,7.6,85%,1,0,0,0,118.0
46,The Theory of Everything,2014,7.7,79%,1,0,0,0,123.0
47,The Pursuit of Happyness,2006,8.0,67%,1,0,0,0,117.0
48,Senna,2010,8.5,93%,1,0,0,0,106.0
49,Scott Pilgrim vs. the World,2010,7.5,81%,1,0,0,0,112.0
50,Magnolia,1999,8.0,83%,1,0,0,0,188.0
51,The Hateful Eight,2015,7.8,75%,1,0,0,0,168.0
52,The Artist,2011,7.9,95%,1,0,0,0,100.0
